Southern Harbour,Northern Harbour,South Eastern,Western,Northern,Gozo and Comino
Bormla,Birkirkara,Birżebbuġa,Ħ'Attard,Ħal Għargħur,Għajnsielem
Ħal Luqa,Ħal Qormi,Ħal Għaxaq,Ħad-Dingli,Il-Mellieħa,Il-Fontana
Ħal Tarxien,Il-Gżira,Ħal Kirkop,Ħal Balzan,Il-Mosta,Il-Munxar
Ħaż-Żabbar,Il-Ħamrun,Ħal Safi,Ħal Lija,In-Naxxar,Il-Qala
Il-Belt Valletta,Is-Swieqi,Il-Gudja,Ħaż-Żebbuġ,L-Imġarr,In-Nadur
Il-Birgu,L-Imsida,Il-Qrendi,Ir-Rabat,San Pawl il-Baħar,"Ir-Rabat, Ghawdex"
Il-Fgura,Pembroke,Iż-Żejtun,Is-Siġġiewi,,Ix-Xagħra
Il-Furjana,San Ġiljan,Iż-Żurrieq,L-Iklin,,Ix-Xewkija
Il-Kalkara,San Ġwann,L-Imqabba,L-Imdina,,Iż-Żebbuġ
Il-Marsa,Santa Venera,Marsaxlokk,L-Imtarfa,,L-Għarb
Ix-Xgħajra,Ta' Xbiex,Wied il-Għajn,,,L-Għasri
L-Isla,Tal-Pietà,,,,San Lawrenz
Raħal Ġdid,Tas-Sliema,,,,Ta' Kerċem
Santa Luċija,,,,,Ta' Sannat